Brewery_Beer,Type_Names,Type_Counts,Style,Location,Country,Date
Santa Cruz Mountain The Peoples' Organic Coffee Porter,,,Coffee Flavored Beer,United States - California,United States ,10/6/08
Santa Cruz Mountain Organic Dread Brown Ale,,,English-Style Brown Ale,United States - California,United States ,10/6/08
Santa Cruz Mountain Amber Ale,,,American-Style Amber/Red Ale,United States - California,United States ,10/6/08
Santa Cruz Mountain Kelly's Special Bitter / KSB,,,English-Style (Extra Special) Strong Bitter,United States - California,United States ,10/6/08
Santa Cruz Mountain India Pale Ale,,,American-Style IPA,United States - California,United States ,10/6/08
Santa Cruz Mountain Pale Ale,,,American-Style Pale Ale,United States - California,United States ,10/6/08
Santa Cruz Mountain Wilder Wheat,,,Light American Wheat Beer with Yeast,United States - California,United States ,10/6/08
El Toro Old Nicolas Imperial Stout,,,Imperial Stout,United States - California,United States ,10/5/08
El Toro Negro Oatmeal Stout,,,Oatmeal Stout,United States - California,United States ,10/5/08
El Toro Porter,,,Robust Porter,United States - California,United States ,10/5/08
El Toro Lambic ET Faro,,,Other Belgian-Style Ale,United States - California,United States ,10/5/08
El Toro Deuce Imperial IPA,,,Imperial or Double IPA,United States - California,United States ,10/5/08
El Toro India Pale Ale,,,American-Style IPA,United States - California,United States ,10/5/08
El Toro Mach Bock,,,German-Style Heller Bock/Maibock,United States - California,United States ,10/5/08
El Toro Kölsch,,,German-Style Kölsch/Köln-Style Kölsch,United States - California,United States ,10/5/08
El Toro Yo Winter Brew 2004,,,Old Ale,United States - California,United States ,10/5/08
El Toro Poppy Jasper Amber Ale,,,American-Style Amber/Red Ale,United States - California,United States ,10/5/08
El Toro 's Team Beer,,,California Common Beer,United States - California,United States ,10/5/08
El Toro Johnny Re-Blaze Beer,,,Herb and Spice Beer,United States - California,United States ,10/5/08
El Toro Herman's Hefe,,,Light American Wheat Beer with Yeast,United States - California,United States ,10/5/08
Peter B's Pilsner,,,American-Style Pilsener,United States - California,United States ,10/5/08
Peter B's Amber,,,American-Style Amber/Red Ale,United States - California,United States ,10/5/08
Peter B's IPA,,,American-Style IPA,United States - California,United States ,10/5/08
Peter B's Nut Brown,,,English-Style Brown Ale,United States - California,United States ,10/5/08
Peter B's Hefeweizen,,,Light American Wheat Beer with Yeast,United States - California,United States ,10/5/08
Sierra Nevada Blonde Ale,,,Golden or Blonde Ale,United States - California,United States ,10/3/08
Sierra Nevada Ruthless Weiss Beer,,,South German-Style Hefeweizen/Hefeweissbier,United States - California,United States ,10/3/08
Sierra Nevada Schwarzbier,,,German-Style Schwarzbier,United States - California,United States ,10/3/08
English Ales Black Hound Stout,,,Classic Irish-Style Dry Stout,United States - California,United States ,10/3/08
English Ales Black Hound Stout,,,Classic Irish-Style Dry Stout,United States - California,United States ,10/3/08
English Ales Black Prince Porter,,,Robust Porter,United States - California,United States ,10/3/08
English Ales Dragon Slayer India Pale Ale,,,English-Style IPA,United States - California,United States ,10/3/08
