Brewery_Beer,Type_Names,Type_Counts,Style,Location,Country,Date
Miller (Milwaukee) Blatz,,,American-Style Lager,United States - Wisconsin,United States ,7/1/16
Lucky Bucket Monkey Call,,,Imperial or Double IPA,United States - Nebraska,United States ,6/30/16
Lucky Bucket Bonsai Rye,,,Rye Beer,United States - Nebraska,United States ,6/30/16
Big Wood Bark Bite IPA,,,American-Style IPA,United States - Minnesota,United States ,6/11/16
Oskar Blues Dale's Pale Ale,,,Classic English-Style Pale Ale,United States - Colorado,United States ,6/11/16
21st Amendment Lower De Boom,,,Barley Wine-Style Ale,United States - California,United States ,6/3/16
Nebraska Pils,,,German-Style Pilsener,United States - Nebraska,United States ,5/31/16
Steenberge Piraat Triple Hop,,,Belgian-Style Tripel,Belgium - Oost-Vlaanderen,Belgium ,5/14/16
Grimm Brothers Snow Drop Köttbusser Ale,,,Specialty Beer,United States - Colorado,United States ,5/14/16
Amager Arctic SunStone,,,Specialty Honey Beer,Denmark,Denmark,5/14/16
Schell Pilsner,,,American-Style Pilsener,United States - Minnesota,United States ,5/14/15
Oskar Blues Mama's Little Yella Pils,,,Bohemian-Style Pilsener,United States - Colorado,United States ,5/14/16
Great Dane (Hilldale) Verrückte Stadt,,,German-Style Pilsener,United States - Wisconsin,United States ,5/1/16
Wisconsin Ol' Reliable,,,Münchner-Style Helles,United States - Wisconsin,United States ,5/1/16
Badger State On Wisconsin!,,,American-Style Amber/Red Ale,United States - Wisconsin,United States ,4/29/16
Stillmank Wisco Disco,,,English-Style (Extra Special) Strong Bitter,United States - Wisconsin,United States ,4/29/16
Stone Arch Cellar Dweller Dark Lager,,,German-Style Schwarzbier,United States - Wisconsin,United States ,4/29/16
Karben4 Champagne Tortoise,,,English-Style Dark Mild Ale,United States - Wisconsin,United States ,4/28/16
Alt Hollywood Nights,,,Gluten Free Beer,United States - Wisconsin,United States ,4/28/16
Alt Copperhead Ale,,,Gluten Free Beer,United States - Wisconsin,United States ,4/28/16
Alt Farmhouse Ale,,,Gluten Free Beer,United States - Wisconsin,United States ,4/28/16
Alt Solstice Saison,,,Gluten Free Beer,United States - Wisconsin,United States ,4/28/16
Potosi Wisconie Common,,,California Common Beer,United States - Wisconsin,United States ,4/28/16
Dieu du Ciel! (Montréal) Solstice d'Hiver,,,Barley Wine-Style Ale,Canada - Québec,Canada ,4/24/16
Cigar City Jai Alai IPA,,,American-Style IPA,United States - Florida,United States ,4/24/16
Surly CynicAle,,,Specialty Beer,United States - Minnesota,United States ,4/24/16
Green Flash Little Freak,,,Wood- and Barrel-aged Beer,United States - California,United States ,4/24/16
Weihenstephaner Weihenstephaner 1516 Kellerbier,,,Kellerbier/Zwickelbier,Germany - Bayern,Germany ,4/23/16
Surly Over Rated!,,,American-Style IPA,United States - Minnesota,United States ,4/3/16
Avery Uncle Jacob,,,Wood- and Barrel-aged Strong Beer,United States - Colorado,United States ,3/22/16
Avery Raja,,,Imperial or Double IPA,United States - Colorado,United States ,3/22/16
Evil Twin Yin,,,Imperial Stout,United States - New York,United States ,3/12/16
Free State Ironman Russian Imperial Stout,,,Imperial Stout,United States - Kansas,United States ,3/12/16
Deschutes The Stoic,,,Belgian-Style Dark Strong Ale,United States - Oregon,United States ,2/27/16
Oskar Blues IPA,,,American-Style IPA,United States - Colorado,United States ,2/27/16
Goose Island Four Star Pils,,,American-Style Pilsener,United States - Illinois,United States ,2/27/16
Upstream (Old Market) Hop Harvest Ale with local Schwedhelm Hops,,,Fresh Hop Ale,United States - Nebraska,United States ,2/20/16
Farnam House FH 12,,,Belgian-Style Dark Strong Ale,United States - Nebraska,United States ,2/19/16
Farnam House Brett Harvest,,,American-Style Brett Ale,United States - Nebraska,United States ,2/19/16
Zipline St. Boden,,,Wood- and Barrel-aged Strong Beer,United States - Nebraska,United States ,2/19/16
Tilquin Gueuze,,,Belgian-Style Gueuze Lambic,Belgium - Brabant Wallon,Belgium ,2/19/16
Boulevard Rye on Rye on Rye,,,Wood- and Barrel-aged Strong Beer,United States - Missouri,United States ,2/19/16
Widmer Pitch Black IPA,,,American-Style Dark Lager,United States - Oregon,United States ,1/28/16
Firestone Walker Red Nectar,,,American-Style Amber/Red Ale,United States - California,United States ,1/26/16
Infusion (Benson) Rule:16 Rye Pale Ale,,,American-Style Rye Beer,United States - Nebraska,United States ,1/18/16
Infusion (Benson) NE-MO Rye Barleywine,,,Wood- and Barrel-aged Strong Beer,United States - Nebraska,United States ,1/18/16
Local Option Vokuhila,,,German-Style Heller Bock/Maibock,United States - Illinois,United States ,1/1/16
Evil Twin Femme Fatale Noir,,,American-Style Black Ale,United States - New York,United States ,1/1/16
Victory Wild Devil Ale,,,American-Belgo-Style Ale,United States - Pennsylvania,United States ,12/25/15
Jolly Pumpkin Bière de Mars,,,Belgian- and French-Style Ale,United States - Michigan,United States ,11/26/15
Local Option Blood Ov The Kings,,,South German-Style Hefeweizen/Hefeweissbier,United States - Illinois,United States ,11/22/15
Surly Pentagram,,,American-Style Sour Ale,United States - Minnesota,United States ,11/22/15
Upstream (Old Market) Roastafari Rye Porter,,,Specialty Beer,United States - Nebraska,United States ,9/18/15
Brickway Oktoberfest,,,German-Style Märzen/Oktoberfest,United States - Nebraska,United States ,9/12/15
Upland Komodo Dragon Fly,,,American-Style Black Ale,United States - Indiana,United States ,9/12/15
Hoppin' Frog Gangster Frog IPA,,,American-Style IPA,United States - Ohio,United States ,8/23/15
Radius π (Pi),,,Berliner-Style Weisse (Wheat),United States - Kansas,United States ,8/22/15
Marto Martomic IPA,,,American-Style IPA,United States - Iowa,United States ,8/22/15
Marto Rustic Saison,,,Specialty Beer,United States - Iowa,United States ,8/22/15
KC Rauchbier,,,Bamberg-Style Rauchbier,United States - Missouri,United States ,8/22/15
KC Dunkel,,,European-Style Dark/Münchner Dunkel,United States - Missouri,United States ,8/22/15
Firetrucker Pumper Truck Porter,,,Brown Porter,United States - Iowa,United States ,8/22/15
Boone Valley Halligan Porter,,,Robust Porter,United States - Iowa,United States ,8/22/15
515 Mediocré,,,American-Style Pale Ale,United States - Iowa,United States ,8/22/15
Defiance Gutch,,,English-Style Dark Mild Ale,United States - Kansas,United States ,8/22/15
Torn Label Bitter Summer,,,English-Style (Extra Special) Strong Bitter,United States - Missouri,United States ,8/22/15
Destihl Hoperation Overload,,,Imperial or Double IPA,United States - Illinois,United States ,8/22/15
Scratchtown Silver Tongued Devil,,,Belgian-Style Tripel,United States - Nebraska,United States ,8/22/15
Kinkaider Wondersand Oktoberfest,,,German-Style Märzen/Oktoberfest,United States - Nebraska,United States ,8/22/15
Fulton War & Peace,,,Imperial Stout,United States - Minnesota,United States ,8/17/15
Coop F5 IPA,,,American-Style IPA,United States - Oklahoma,United States ,8/22/15
Dieu du Ciel! Pénombre,,,American-Style Black Ale,Canada - Québec,Canada ,7/4/15
Alchemist Heady Topper,,,Imperial or Double IPA,United States - Vermont,United States ,7/4/15
Finch Hard Core Chimera,,,Imperial or Double IPA,United States - Illinois,United States ,7/4/15
New Holland The Poet,,,Oatmeal Stout,United States - Michigan,United States ,7/4/15
New Glarus (Original) Hopster Hopped Wheat,,,Specialty Beer,United States - Wisconsin,United States ,7/4/15
Farnam House Berliner Weisse,,,Berliner-Style Weisse (Wheat),United States - Nebraska,United States ,6/27/15
Rare Barrel Another World,,,Wood- and Barrel-Aged Sour Beer,United States - California,United States ,6/22/15
Jabłonowo Barrel Aged Pilsener,,,Wood- and Barrel-aged Beer,Poland,Poland,6/13/15
Thiriez The French Connection,,,French & Belgian-Style Saison,France - Hautes-de-France,France ,6/7/15
Drekker Broken Rudder,,,American-Style Amber/Red Ale,United States - North Dakota,United States ,5/17/15
Genesee Dieselpunk India Pale Ale,,,American-Style IPA,United States - New York,United States ,5/18/15
SanTan HopShock IPA,,,American-Style IPA,United States - Arizona,United States ,5/18/15
SanTan Devil's Ale,,,American-Style Pale Ale,United States - Arizona,United States ,5/18/15
Bruery Rugbrød,,,Specialty Beer,United States - California,United States ,5/17/15
New Holland Incorrigible,,,Wood- and Barrel-Aged Sour Beer,United States - Michigan,United States ,5/17/15
Funkwerks Solenna,,,French & Belgian-Style Saison,United States - Colorado,United States ,5/17/15
Bruery Sour in the Rye,,,American-Style Sour Ale,United States - California,United States ,5/17/15
Founders Dark Penance,,,American-Style Black Ale,United States - Michigan,United States ,8/15/15
New Glarus (Original) Scream IIPA,,,Imperial or Double IPA,United States - Wisconsin,United States ,5/3/15
Hinterland White Cap White IPA,,,Specialty Beer,United States - Wisconsin,United States ,5/3/15
New Glarus (Original) Road Slush,,,Oatmeal Stout,United States - Wisconsin,United States ,4/26/15
Titletown (Dousman) SSA Smoked Alt,,,Smoke-Flavored Beer,United States - Wisconsin,United States ,4/24/15
Next Door Iron Brigade Stout,,,American-Style Stout,United States - Wisconsin,United States ,4/23/15
Next Door Belgian Amber,,,Other Belgian-Style Ale,United States - Wisconsin,United States ,4/23/15
Next Door Rockets Red,,,American-Style Amber/Red Ale,United States - Wisconsin,United States ,4/23/15
Next Door Eastside APA,,,American-Style Pale Ale,United States - Wisconsin,United States ,4/23/15
Next Door Bascom Blonde,,,Golden or Blonde Ale,United States - Wisconsin,United States ,4/23/15
Kalona Hot Mess,,,Imperial or Double IPA,United States - Iowa,United States ,4/23/15
Kalona Pinhead Red,,,American-Style Amber/Red Ale,United States - Iowa,United States ,4/23/15
Kalona Flying Bishop Pale Ale,,,American-Style Pale Ale,United States - Iowa,United States ,4/23/15
Kalona Zingo Pale Lager,,,American-Style Lager,United States - Iowa,United States ,4/23/15
New Belgium Portage Porter,,,Robust Porter,United States - Colorado,United States ,3/24/15
VanderGhinste Oud Bruin,,,Belgian-Style Flanders/Oud Bruin Ale,Belgium - West-Vlaanderen,Belgium ,3/24/15
Antwerpse Seef,,,Other Belgian-Style Ale,Belgium - Antwerpen,Belgium ,3/24/15
Green Flash Grand Cru,,,Belgian-Style Dark Strong Ale,United States - California,United States ,3/10/15
Robinsons Old Tom,,,Barley Wine-Style Ale,United Kingdom - Cheshire,United Kingdom ,3/10/15
Odell Wolf Picker Pale Ale,,,American-Style Pale Ale,United States - Colorado,United States ,3/1/15
Stone Lukcy Basartd,,,American-Style Strong Pale Ale,United States - California,United States ,2/18/15
Jandrain-Jandrenouille IV Saison,,,French & Belgian-Style Saison,Belgium - Brabant Wallon,Belgium ,2/14/15
Lagunitas ScareCity Rye Cocoa Porter,,,Chocolate/Cocoa Flavored Beer,United States - California,United States ,2/14/15
Farnam House Icebock,,,German-Style Eisbock,United States - Nebraska,United States ,2/13/15
Farnam House Winter Ice,,,German-Style Eisbock,United States - Nebraska,United States ,2/13/15
Zipline Barrel Aged Barleywine,,,Wood- and Barrel-aged Strong Beer,United States - Nebraska,United States ,2/13/15
Brickway Amber Ale,,,American-Style Amber/Red Ale,United States - Nebraska,United States ,2/13/15
Brickway Oak Aged Barleywine,,,Wood- and Barrel-aged Strong Beer,United States - Nebraska,United States ,2/13/15
Brickway Pale Ale,,,American-Style Pale Ale,United States - Nebraska,United States ,2/13/15
Brickway Trippel,,,Belgian-Style Tripel,United States - Nebraska,United States ,2/13/15
Brickway Doppelbock,,,German-Style Strong Doppelbock,United States - Nebraska,United States ,2/13/15
Farnam House Oud Bruin,,,Belgian-Style Flanders/Oud Bruin Ale,United States - Nebraska,United States ,1/18/15
Farnam House Tripel,,,Belgian-Style Tripel,United States - Nebraska,United States ,1/18/15
Farnam House Belgian IPA,,,American-Belgo-Style Ale,United States - Nebraska,United States ,1/18/15
Farnam House Hop Harvest Saison,,,French & Belgian-Style Saison,United States - Nebraska,United States ,1/18/15
Farnam House Bière de Garde,,,Belgian- and French-Style Ale,United States - Nebraska,United States ,1/18/15
Farnam House Grisette,,,French & Belgian-Style Saison,United States - Nebraska,United States ,1/18/15
Fargo Sodbuster Porter,,,Robust Porter,United States - North Dakota,United States ,12/20/14
Brickway Cream Stout,,,Sweet Stout or Cream Stout,United States - Nebraska,United States ,12/13/14
Brickway Imperial IPA,,,Imperial or Double IPA,United States - Nebraska,United States ,12/13/14
Brickway India Pale Ale,,,American-Style Pale Ale,United States - Nebraska,United States ,12/13/14
Brickway Imperial Stout,,,Imperial Stout,United States - Nebraska,United States ,12/13/14
Brickway Hefeweizen,,,South German-Style Hefeweizen/Hefeweissbier,United States - Nebraska,United States ,12/13/14
Brickway Belgian Dubbel,,,Belgian-Style Dubbel,United States - Nebraska,United States ,12/13/14
Brickway Pils,,,German-Style Pilsener,United States - Nebraska,United States ,12/13/14
Almanac Farm to Barrel Bourbon Sour Porter,,,Wood- and Barrel-aged Dark Beer,United States - California,United States ,12/20/14
Tallgrass Zombie Monkie,,,Robust Porter,United States - Kansas,United States ,11/15/14
Squatters Wee Peat,,,Scottish-Style Ale,United States - Utah,United States ,11/15/14
Finch Nuclear Winter,,,Belgian-Style Dark Strong Ale,United States - Illinois,United States ,11/15/14
Leibinger Zeppelin Bier,,,Kellerbier/Zwickelbier,Germany - Baden-Württemberg,Germany ,10/29/14
Farnam House Oktoberfest,,,German-Style Märzen/Oktoberfest,United States - Nebraska,United States ,9/27/14
Nebraska Barrel Aged Hop Anomaly,,,Wood- and Barrel-aged Strong Beer,United States - Nebraska,United States ,9/25/14
Nebraska Flock of Cardinals,,,American-Style Strong Pale Ale,United States - Nebraska,United States ,9/25/14
Nebraska Ale Storm,,,Golden or Blonde Ale,United States - Nebraska,United States ,9/25/14
Nebraska Summertime Rye,,,Rye Beer,United States - Nebraska,United States ,9/25/14
Empyrean Domino Effect,,,English-Style (Extra Special) Strong Bitter,United States - Nebraska,United States ,8/29/14
Alaskan Smoked Porter 2012,,,Smoke-Flavored Beer,United States - Alaska,United States ,9/6/14
Mudbug's Red Bug Ale,,,American-Style Amber/Red Ale,United States - Nebraska,United States ,7/27/14
Great Divide Heyday,,,Belgian Style White (or Wit) / Belgian-Style Wheat,United States - Colorado,United States ,7/19/14
Odell Perle White IPA,,,American-Belgo-Style Ale,United States - Colorado,United States ,7/19/14
